id,artist,track,platform,country,streams,month,last+AF8-updated
1,Burna Boy,Location,Spotify,GB,197806728,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
2,Burna Boy,Location,Spotify,NG,18537448,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
3,Burna Boy,Location,Spotify,IE,11344319,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
4,Burna Boy,Location,Spotify,NL,4051819,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
5,Burna Boy,Location,Spotify,DK,791234,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
6,Burna Boy,Location,Spotify,ZA,646906,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
7,Burna Boy,Location,Spotify,CH,581745,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
8,Burna Boy,Location,Spotify,SE,126043,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
9,Burna Boy,Location,Spotify,NZ,124295,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
10,Burna Boy,Location,Spotify,LU,111460,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
11,Burna Boy,Location,Spotify,AE,8356,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
12,Burna Boy,Location,Spotify,IS,4713,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
13,Burna Boy,Location,Spotify,CY,3790,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:06
14,Burna Boy,Last Last,Spotify,Global,210165609,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
15,Burna Boy,Last Last,Spotify,GB,62790507,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
16,Burna Boy,Last Last,Spotify,NL,25635492,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
17,Burna Boy,Last Last,Spotify,NG,22164192,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
18,Burna Boy,Last Last,Spotify,FR,17980326,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
19,Burna Boy,Last Last,Spotify,CA,11891443,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
20,Burna Boy,Last Last,Spotify,ZA,9974569,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
21,Burna Boy,Last Last,Spotify,SE,4915649,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
22,Burna Boy,Last Last,Spotify,CH,3598788,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
23,Burna Boy,Last Last,Spotify,NZ,3518403,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
24,Burna Boy,Last Last,Spotify,AU,2581899,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
25,Burna Boy,Last Last,Spotify,BE,2476327,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
26,Burna Boy,Last Last,Spotify,IE,1477582,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
27,Burna Boy,Last Last,Spotify,AE,1013654,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
28,Burna Boy,Last Last,Spotify,DK,788365,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
29,Burna Boy,Last Last,Spotify,NO,527624,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
30,Burna Boy,Last Last,Spotify,PA,443077,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
31,Burna Boy,Last Last,Spotify,LU,426596,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
32,Burna Boy,Last Last,Spotify,MA,317024,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
33,Burna Boy,Last Last,Spotify,CY,146448,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:31
34,Burna Boy,Own It,Spotify,Global,168197417,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
35,Burna Boy,Own It,Spotify,GB,74701267,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
36,Burna Boy,Own It,Spotify,NL,15109158,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
37,Burna Boy,Own It,Spotify,DE,9105511,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
38,Burna Boy,Own It,Spotify,IE,7045733,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
39,Burna Boy,Own It,Spotify,AU,6573164,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
40,Burna Boy,Own It,Spotify,DK,6079517,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
41,Burna Boy,Own It,Spotify,SE,3208275,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
42,Burna Boy,Own It,Spotify,NO,2608534,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
43,Burna Boy,Own It,Spotify,CA,2460895,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
44,Burna Boy,Own It,Spotify,BE,2283445,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
45,Burna Boy,Own It,Spotify,US,1997459,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
46,Burna Boy,Own It,Spotify,NZ,928315,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
47,Burna Boy,Own It,Spotify,CH,860199,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
48,Burna Boy,Own It,Spotify,FI,715185,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
49,Burna Boy,Own It,Spotify,PT,569900,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
50,Burna Boy,Own It,Spotify,AT,364717,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
51,Burna Boy,Own It,Spotify,ZA,347519,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
52,Burna Boy,Own It,Spotify,RO,313386,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
53,Burna Boy,Own It,Spotify,EE,270743,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
54,Burna Boy,Own It,Spotify,CZ,265004,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
55,Burna Boy,Own It,Spotify,GR,189350,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
56,Burna Boy,Own It,Spotify,AE,182278,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
57,Burna Boy,Own It,Spotify,MT,171413,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
58,Burna Boy,Own It,Spotify,MY,153444,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
59,Burna Boy,Own It,Spotify,HU,149626,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
60,Burna Boy,Own It,Spotify,SK,149173,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
61,Burna Boy,Own It,Spotify,IS,144871,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
62,Burna Boy,Own It,Spotify,LT,144638,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
63,Burna Boy,Own It,Spotify,CY,119344,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
64,Burna Boy,Own It,Spotify,TW,118707,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
65,Burna Boy,Own It,Spotify,SG,113793,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
66,Burna Boy,Own It,Spotify,NG,113737,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
67,Burna Boy,Own It,Spotify,PL,104659,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
68,Burna Boy,Own It,Spotify,JP,91181,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
69,Burna Boy,Own It,Spotify,HK,84787,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
70,Burna Boy,Own It,Spotify,BG,84217,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
71,Burna Boy,Own It,Spotify,LV,80045,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
72,Burna Boy,Own It,Spotify,LU,70910,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
73,Burna Boy,Own It,Spotify,IL,20917,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
74,Burna Boy,Own It,Spotify,VN,15855,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
75,Burna Boy,Own It,Spotify,MA,13392,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
76,Burna Boy,Own It,Spotify,SA,7496,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:41
77,Burna Boy,Be Honest,Spotify,Global,87551376,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
78,Burna Boy,Be Honest,Spotify,GB,31492762,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
79,Burna Boy,Be Honest,Spotify,FR,14324539,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
80,Burna Boy,Be Honest,Spotify,AU,3349417,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
81,Burna Boy,Be Honest,Spotify,CA,2609952,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
82,Burna Boy,Be Honest,Spotify,NL,2282013,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
83,Burna Boy,Be Honest,Spotify,PT,1988424,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
84,Burna Boy,Be Honest,Spotify,IE,1907946,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
85,Burna Boy,Be Honest,Spotify,BE,1582817,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
86,Burna Boy,Be Honest,Spotify,NZ,660323,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
87,Burna Boy,Be Honest,Spotify,CH,537783,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
88,Burna Boy,Be Honest,Spotify,DK,206793,2025+AC0-11+AC0-12,2025+AC0-11+AC0-12 08:19:55
